2023-06-30 00:09:50,373 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 33410), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:09:50,374 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:09:50,374 INFO       sending message 200 : OK from server to client
2023-06-30 00:09:50,380 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:14:02,672 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:14:02,673 INFO       server connection established
2023-06-30 00:14:02,673 DEBUG      generated message 'presence' for user iui
2023-06-30 00:14:02,674 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 46924), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688073242.6735857, 'user': {'account_name': 'iui'}}), {} from the function init_socket
2023-06-30 00:14:02,683 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 46924), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:14:02,683 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:14:02,683 INFO       sending message 200 : OK from server to client
2023-06-30 00:14:02,696 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:16:24,760 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:16:24,762 INFO       server connection established
2023-06-30 00:16:24,764 DEBUG      generated message 'presence' for user lkjlkjkj
2023-06-30 00:16:24,766 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 41898), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688073384.764533, 'user': {'account_name': 'lkjlkjkj'}}), {} from the function init_socket
2023-06-30 00:16:25,267 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 41898), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:16:25,267 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:16:25,267 INFO       sending message 200 : OK from server to client
2023-06-30 00:16:25,275 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:26:46,978 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:26:46,980 INFO       server connection established
2023-06-30 00:26:46,981 DEBUG      generated message 'presence' for user jhkhlklk
2023-06-30 00:26:46,982 DEBUG      A function send_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59290), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1688074006.9809737, 'user': {'account_name': 'jhkhlklk'}}), {} from the function init_socket
2023-06-30 00:26:46,993 DEBUG      A function get_msg was called with parameters (<socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59290), raddr=('127.0.0.1', 7777)>,), {} from the function init_socket
2023-06-30 00:26:46,994 DEBUG      generated hello_message from the server: {'response': 200}
2023-06-30 00:26:46,995 INFO       sending message 200 : OK from server to client
2023-06-30 00:26:47,001 DEBUG      The client started processes for sending and receiving messages
2023-06-30 00:31:48,993 DEBUG      A function arg_parser was called with parameters (), {} from the function main
2023-06-30 00:31:48,995 INFO       server connection established
2023-06-30 00:31:48,995 DEBUG      generated message 'presence' for user hjkhkjh
